Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,,,,,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,Digi-Key,Mouser,Newark,Onlinecomponents.com,RS Components,,,,,,,,,,
69802-432LF,1,Amphenol ICC / FCI,69802-432LF,https://octopart.com/69802-432lf-amphenol+icc+%2F+fci-90340517,Conn PLCC Socket SKT 32 POS 1.27mm Solder ST SMD T/R,,,,,12w,Compliant,1,609-4532-1-ND,649-69802-432LF,16M2200,69802-432LF,1822967,Cut Tape,Tape & Reel,,Bulk,,1.68,1.66,0.541,,,3355,4990,424,4006,1617,1,1,1,390,5,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=459&sig=0924f15&vpid=531335192,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=2401&sig=067d28a&vpid=119377907,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=2402&sig=09f6312&vpid=474120658,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=2429&sig=0f86867&vpid=729189919,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=10022&sig=096dc05&vpid=527497088,Newark,16M2200,,0.541,0.541,0.541,424,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=90340517&sid=2402&sig=09f6312&vpid=474120658,
AT28C256-15JU,1,Microchip,AT28C256-15JU,https://octopart.com/at28c256-15ju-microchip-77758239,"AT28C256-15JU Parallel EEPROM Memory, 256kbit, 150ns, 4.5 to 5.5 V 32-Pin PLCC",,,,Production (Last Updated: 1 year ago),52w,Compliant,1,AT28C256-15JU-ND,556-AT28C25615JU,68T4337,AT28C256-15JU,1276569,Tube,Tube,,Bulk,,10.45,10.46,,,9.70502370395615,0,15,0,0,188,1,1,64,32,1,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=77758239&sid=459&sig=08d2d04&vpid=408713856,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=77758239&sid=2401&sig=0fd95de&vpid=408977686,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=77758239&sid=2402&sig=024451c&vpid=410222079,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=77758239&sid=2429&sig=0e5ab1a&vpid=733126478,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=77758239&sid=10022&sig=0498ac9&vpid=476814948,RS Components,1276569,,9.70502370395615,9.70502370395615,9.70502370395615,188,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=77758239&sid=10022&sig=0498ac9&vpid=476814948,
74AHCT30D-Q100J,2,Nexperia,74AHCT30D-Q100J,https://octopart.com/74ahct30d-q100j-nexperia-78749832,74AHCT Series 5 V Surface Mount 8-Input NAND Gate - SOIC-14,,,,Production (Last Updated: 18 hours ago),52w,Compliant,2,74AHCT30D-Q100J-ND,771-74AHCT30DQ100J,,,,Tape & Reel,Tape & Reel,,,,,0.65,,,,0,623,,,,2500,1,,,,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=78749832&sid=459&sig=0e2f0dd&vpid=413672971,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=78749832&sid=2401&sig=0c07da8&vpid=416177086,,,,Mouser,771-74AHCT30DQ100J,Tape & Reel,0.65,1.3,1.3,623,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=78749832&sid=2401&sig=0c07da8&vpid=416177086,
SN74AHCT02D,2,Texas Instruments,SN74AHCT02D,https://octopart.com/sn74ahct02d-texas+instruments-465348,"4-ch, 2-input, 4.5-V to 5.5-V NOR gates with TTL-compatible CMOS inputs 14-SOIC -40 to 85",,,,Production (Last Updated: 1 week ago),6w,Compliant,2,296-4634-5-ND,595-SN74AHCT02D,26AJ9118,,,Tube,Tube,,,,1.16,1.15,1.78,,,343,968,0,,,1,1,1,,,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=465348&sid=459&sig=054b0ee&vpid=1996635,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=465348&sid=2401&sig=049629f&vpid=37843758,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=465348&sid=2402&sig=0316a07&vpid=702462753,,,Mouser,595-SN74AHCT02D,Tube,1.15,2.3,2.3,968,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=465348&sid=2401&sig=049629f&vpid=37843758,
RC1206FR-0712KL,6,Yageo,RC1206FR-0712KL,https://octopart.com/rc1206fr-0712kl-yageo-41455584,Res Thick Film 1206 12K Ohm 1% 0.25W(1/4W) ±100ppm/C Pad SMD T/R,,,,,20w,Compliant,6,311-12.0KFRCT-ND,603-RC1206FR-0712KL,98K7634,,,Cut Tape,Tape & Reel,,,,0.1,0.1,,,,98698,24846,0,,,1,1,10,,,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=41455584&sid=459&sig=033d2b6&vpid=115263624,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=41455584&sid=2401&sig=056baec&vpid=119386957,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=41455584&sid=2402&sig=02f649a&vpid=115424481,,,Digi-Key,311-12.0KFRCT-ND,Cut Tape,0.1,0.6000000000000001,0.6000000000000001,98698,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=41455584&sid=459&sig=033d2b6&vpid=115263624,
C1206C106K8PAC,1,KEMET,C1206C106K8PACTU,https://octopart.com/c1206c106k8pactu-kemet-8342310,1206 C 10uF Ceramic Multilayer Capacitor; 10 VDC; +85degC; X5R Dielec; +/-10%,,,,,24w,Compliant,1,399-C1206C106K8PAC7800CT-ND,80-C1206C106K8P,96K8340,C1206C106K8PACTU,148092P,Cut Tape,Tape & Reel,,Bulk,,0.35,0.31,,,,73059,17299,7660,0,29225,1,1,5,32,250,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=8342310&sid=459&sig=032318f&vpid=778087788,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=8342310&sid=2401&sig=0a64551&vpid=37843845,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=8342310&sid=2402&sig=030086b&vpid=73976561,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=8342310&sid=2429&sig=0069c9e&vpid=732822495,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=8342310&sid=10022&sig=003347b&vpid=437027550,Mouser,80-C1206C106K8P,Tape & Reel,0.31,0.31,0.31,17299,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=8342310&sid=2401&sig=0a64551&vpid=37843845,
C1206C104M5RACTU,4,KEMET,C1206C104M5RACTU,https://octopart.com/c1206c104m5ractu-kemet-129344,1206 C 100nF Ceramic Multilayer Capacitor; 50 VDC; +125degC; X7R Dielec; +/-20%,,,,,52w,Compliant,4,399-C1206C104M5RAC7800CT-ND,80-C1206C104M5R,14N2184,C1206C104M5RACTU,2053277,Cut Tape,Tape & Reel,,Bulk,,0.12,0.1,0.008,,,69939,49947,2519,0,2600,1,1,1,8000,100,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=129344&sid=459&sig=0316d49&vpid=778087758,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=129344&sid=2401&sig=09e4eaf&vpid=44737023,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=129344&sid=2402&sig=0e80658&vpid=16453344,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=129344&sid=2429&sig=043c5e1&vpid=732822225,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=129344&sid=10022&sig=02caed9&vpid=694088864,Newark,14N2184,,0.008,0.032,0.032,2519,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=129344&sid=2402&sig=0e80658&vpid=16453344,
SN74LVC4245ADWRG4,1,Texas Instruments,SN74LVC4245ADWRG4,https://octopart.com/sn74lvc4245adwrg4-texas+instruments-7119357,Octal Bus Transceiver And 3.3-V To 5-V Shifter With 3-State Outputs 24-SOIC -40 to 85,,,,Production (Last Updated: 1 week ago),20w,Compliant,1,296-48964-1-ND,595-74LVC4245ADWRG4,,,,Cut Tape,Tape & Reel,,,,1.64,1.64,,,,1145,191,,,,1,1,,,,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=7119357&sid=459&sig=031f038&vpid=477161524,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=7119357&sid=2401&sig=09ef8d3&vpid=94925989,,,,Digi-Key,296-48964-1-ND,Cut Tape,1.64,1.64,1.64,1145,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=7119357&sid=459&sig=031f038&vpid=477161524,
SN74LV1T34DBVRG4,2,Texas Instruments,SN74LV1T34DBVRG4,https://octopart.com/sn74lv1t34dbvrg4-texas+instruments-91780194,Single Power Supply BUFFER Logic Level Shifter (no enable) 5-SOT-23 -40 to 125,,,,Production (Last Updated: 1 week ago),35w,Non-Compliant,2,296-SN74LV1T34DBVRG4DKR-ND,595-SN74LV1T34DBVRG4,,,,Custom Reel,Tape & Reel,,,,0.64,0.64,,,,0,3,,,,1,1,,,,https://octopart.com/click/track?ai4=706&c=1&country=DE&ct=offers&ppid=91780194&sid=459&sig=0a1d6be&vpid=592317909,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=91780194&sid=2401&sig=0986668&vpid=485010533,,,,Mouser,595-SN74LV1T34DBVRG4,Tape & Reel,0.64,1.28,1.28,3,1,https://octopart.com/click/track?ai4=706&country=DE&ct=offers&ppid=91780194&sid=2401&sig=0986668&vpid=485010533,
